GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library,net.mooctest,AccountStatus,34,0,0,0,4,0,1,0,1,0
Library,net.mooctest,CreditRepairService,26,0,4,0,7,0,4,0,2,0
Library,net.mooctest,BlacklistedUserException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,Book,173,34,16,0,54,11,26,1,18,1
Library,net.mooctest,AccountFrozenException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,BookNotAvailableException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,InsufficientCreditException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,User,345,0,38,0,81,0,37,0,18,0
Library,net.mooctest,BorrowRecord,136,0,12,0,37,0,15,0,9,0
Library,net.mooctest,InvalidOperationException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,InventoryService,54,0,4,0,14,0,5,0,3,0
Library,net.mooctest,BookType,0,44,0,0,0,5,0,1,0,1
Library,net.mooctest,OverdueFineException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,Library,252,0,10,0,56,0,13,0,8,0
Library,net.mooctest,AutoRenewalService,46,0,8,0,12,0,6,0,2,0
Library,net.mooctest,UserType,54,0,0,0,6,0,1,0,1,0
Library,net.mooctest,ExternalLibraryAPI,26,0,0,0,5,0,3,0,3,0
Library,net.mooctest,EmailException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,VIPUser,237,0,26,0,55,0,19,0,6,0
Library,net.mooctest,SMSException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,ReservationNotAllowedException,4,0,0,0,2,0,1,0,1,0
Library,net.mooctest,NotificationService,102,0,10,0,24,0,10,0,5,0
Library,net.mooctest,Reservation,77,0,10,0,22,0,10,0,5,0
Library,net.mooctest,RegularUser,263,0,30,0,57,0,20,0,5,0
